item_id,system,item,authority,status,notes
GA-BOWL-SET,resonator,graduated glass bowl set,pending_measurement,estimate_class_only,"Actual bowl count, diameters, wall profiles, and pitches are not specified."
GA-SPINDLE,rotating_core,horizontal spindle,pending_measurement,estimate_class_only,"Material, diameter, straightness, supports, and interface details require engineering review."
GA-BOWL-MOUNTS,rotating_core,non-marring bowl mounting interfaces,pending_measurement,estimate_class_only,"Must support glass without point loading or slipping."
GA-BEARINGS,drive,bearing pair or supported bearing blocks,pending_measurement,estimate_class_only,"Must be quiet, water-protected, and aligned under rotating load."
GA-TREADLE,drive,foot treadle and linkage,pending_measurement,estimate_class_only,"Drive geometry and ergonomics are not specified."
GA-FLYWHEEL,drive,flywheel or smoothing pulley,pending_measurement,estimate_class_only,"Rotational inertia and guarding require testing."
GA-BELT,drive,belt or cord drive,pending_measurement,estimate_class_only,"Material, tension, slip behavior, and water exposure need review."
GA-FRAME,structure,bench frame and spindle supports,pending_measurement,estimate_class_only,"Envelope and joinery are not specified."
GA-WATER,playing_interface,water tray and wipe area,pending_measurement,estimate_class_only,"Moisture control must protect bearings, belt path, frame, and player."
GA-GUARDS,safety,rotating glass and drive guards,pending_measurement,estimate_class_only,"Guarding concept must address glass fracture, pinch points, and cleanup."
GA-SAMPLE-MOUNT,validation,sacrificial mounting coupon set,pending_measurement,estimate_test_need,"Needed to test gasket, cone, collar, and non-marring support ideas before touching a bowl set."
GA-DRIP-CONTROL,playing_interface,drip capture and drying path,pending_measurement,estimate_class_only,"Water routing must be tested with the intended frame and drive layout."
GA-SERVICE-TOOLS,maintenance,bowl removal and cleaning tools,pending_measurement,estimate_class_only,"Service approach remains open until the bowl support method is reviewed."
